cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgzOJq9yZTttih1qccR4AaABAg,"suporter bola kok membabi buta sprti itu
mmbunuh orang hanya karna Rivalitas
ditengah kpasrah'an persebaya & poilsi
Tuhan berkehendak lain, tuhan memilih
tuhan ambil Nyawa Ratusan Aremania
Mereka Layak Tewas, Untuk Revolusi",1 year ago,@syeksitijenar,UCbmwqsxbFnVx4lEDQUBB13A,1,,https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.685345
UgzR-5MeeMczEAwBkDJ4AaABAg,dari vidio ini saya sadar yang salah 100℅ adalah supporter aremania bukan aparat yang lempar gas air mata..& perlu di sadari aparat melakukan itu semua karna keadaan contoh nya kek di vidio ini,1 year ago,@anjalutung666,UCCqmJFCAYW-hSRXFcVNFkFA,1,,https://yt3.ggpht.com/ytc/AIdro_ng3vdmQ70ckkEDn8ODXy01T1k4iclHBSOBC5Qal-YxKcB6AAI=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.686907
UgzXf5ShZCf5wRID1Hx4AaABAg,Vido yang bisa membungkam cangkem e sumpil seng bengok bengok tidak ada penyerangan ke pemain dan official persebaya,1 year ago,@RadinHakiana,UCc4RPNGVtpXnscqBcGV0J9Q,1,,https://yt3.ggpht.com/ytc/AIdro_lp9OQ-_ykMGuXZ9KrcKyPSm9kA9vB9cMF5T5UXie-0OmMMmgygTjG1BuATiGxiSrkuCQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.688417
Ugyz9SQ5UnIU6IIZ_pB4AaABAg,"Sepurane, tapi kebacut kon rek. Wong atasane balbalan nganti koyok ngene. Aturane wes gak iso disepuro kon kon iku. Nguawurmu jan kebacut.

Ilingo sik sedulur kabeh iki sak Indonesia.",1 year ago,@nasijinggoammanda9889,UCCKtl5JeWKAL3jTf5eRXZsQ,1,,https://yt3.ggpht.com/ytc/AIdro_k97HZdkHM_JdSKEZ5Ap5JO289n-PVGCA4Z8V_4Xoo=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.689858
UgzwjU1M-Dx1bf479lJ4AaABAg,Arema harusnya dibubarkan,1 year ago,@muhammadmahdar6162,UCE0z4PXaFIKRsR19OVkQwYA,2,,https://yt3.ggpht.com/2BxX5VwBBsgrDDXArd-VW-tQphKJ97WHTeUSAYlzp3qRg5L3GcgAfWs9pqSwyXHKjb5836GDjA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.691402
Ugw_7sulQH-eGoYyzHp4AaABAg,"Supporter Arema Yang Masih Nyalahin Polisi,  gara gara ulah suporter Rusuh kalian banyak korban ngk bersalah ibu"" anak kecil menngal 😢, buka mata Liat Nih Video, seharusnya Arema malang Di ban Dari BRI liga 1 Seumur hidup",1 year ago (edited),@napadiadj,UCngwQX1MA6cSjQRipPsGd3A,2,,https://yt3.ggpht.com/obuEGD1tPLWsbF9GEfUWQbhzuHRLb0JmcRDsgJeENkfOiqmjYO5BH6JQEmfNtB2P0-BT8aWOcg=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.693015
UgzgJlZ6Cto8uCQu1_d4AaABAg,Jawa= Kreen,1 year ago,@muhrobby7557,UCqWJbjgsaWFGqzg0ThXiOLQ,0,1,https://yt3.ggpht.com/ytc/AIdro_lWROKgI2pLjiFX3xT7vAwGvHdSAUxJwLOEv-fmrZ9m8Q=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.696002
UgwRSsxPzXR5caI5C6t4AaABAg,ini sudah bukan lagi sepakbola tapi anarkisme ... 😢,1 year ago,@normalpeople-g1f,UCAOmOW5aOxJRCKWzXCxNImg,1,,https://yt3.ggpht.com/qvO-IkmI-Nuxmn1rz_Y-SBkiYsr6BXfN4I37kh5oSRR2nb-4Er_0Hh62juhOTHpXefPIKnQFZA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.697515
UgwNmnL1wTheiEKZN2J4AaABAg,arema hama,1 year ago,@AGAZZAAA,UCNeMg_R-ER5h3JbD-PQ5_iQ,0,,https://yt3.ggpht.com/Je039P5CeUSmIrOuCre4xGQqg_TyuDc1dgpqKnhKPVpge6CAX4ydkNlNtqg3a-IE1vcNkBPYdA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.699102
Ugwj9a-8B-A_0ZbfxeV4AaABAg,"Sampe sesak nafas aku,yaallah😭",1 year ago,@melindaofficial1375,UCVgNqT9gbBjdCfTAb_ycQ2g,0,,https://yt3.ggpht.com/We-MrKMPsfTPSD6T19NuQ37rn5e4PwzXCLobN5lL1kk2xPMR7pymezn4GVlTz8dQ4LYfxyVd=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.700686
UgxPf-NH7QPoefbXzj54AaABAg,Buruk nya aremania,1 year ago,@ygsabarpastibisa1489,UC63ndloOJ43MXcgcLayd52A,0,,https://yt3.ggpht.com/ytc/AIdro_l88qhhZ4ds_D8XEvmr21NhcQNa8pFcHw9qOP17wrGcKGy-=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.702681
Ugy_430yr8nDM3vRb2J4AaABAg,Ganti pelatih,1 year ago,@dwiputra3188,UCERP2OT6FD0tb8C_5XU1BqA,0,,https://yt3.ggpht.com/ytc/AIdro_k84CYgPVnPLqaGFElOSkz_EbgRpl8AdjKM_rq3_bo=s88-c-k-c0x00ffffff-no-rj,False,False,1750142188.704368
UgwjDapKVfcz2y-KyCd4AaABAg.AE8fCiBlGEBAEILC0U0ikK,omong opo se des bedes sdm rendah😂,1 year ago,@lordmeme4939,UC3UzO3meh-4RPUlCPUqX7gg,1,,https://yt3.ggpht.com/0tnW2ArM9SQB4TSSr-SZpeGMxFaai1k_0O_ds3lwqmfgAHP1QKTcQCjNCnTGc2U9qgxefnjGeA=s88-c-k-c0x00ffffff-no-rj,False,True,1750142188.851168
UgwjDapKVfcz2y-KyCd4AaABAg.AE8fCiBlGEBAFRyEVZUbqG,Info 135? Tambah kusut ae,1 year ago,@zeezeee03,UCFV2z7D33OZsF5NQ1lLKG7w,0,,https://yt3.ggpht.com/M5_Gg30X3776r9B647qJG1ASnVwkuDhvpzrugWfs3UUmt0s_42dVwrckad9UwjAbxIBFyz3h=s88-c-k-c0x00ffffff-no-rj,False,True,1750142188.853075
UgwIbB1mxz5lr0TNCo14AaABAg.ADyfI_iTbOzAEf0DGm4GC8,Smpe kapolsek atau kapolresnya sih yah yang dipecat,1 year ago,@dewiagustin7445,UCGeY1BSfgvClz5vAEwLRRUg,0,,https://yt3.ggpht.com/wiyoFlAUU6ziiPveD6SfPQW4KIcxrMHQqtB3e2HavmOR2BKjH_9RYysMf87zpngOCWr3c6kb8A=s88-c-k-c0x00ffffff-no-rj,False,True,1750142188.998271
UgwIbB1mxz5lr0TNCo14AaABAg.ADyfI_iTbOzAFCKMrKWOv5," @dewiagustin7445  itu namanya mengambing hitamkan polisi, coba 2 Aremamia yg pertama turun ke lapangan di tangkap, itu provokatornya",1 year ago,@syeksitijenar,UCbmwqsxbFnVx4lEDQUBB13A,0,,https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s88-c-k-c0x00ffffff-no-rj,False,True,1750142188.999916
UgzgJlZ6Cto8uCQu1_d4AaABAg.ADrfSxWb-5HAJewJqEom7y,Ga semua jawa ye. Tapi khusus Malang aja ya yang dicap hama!,11 months ago,@Ersha.Atmanegara,UC4T80PVa2c2Y3XVMTKhmTQg,0,,https://yt3.ggpht.com/YKDHOumXmGAlWF6-YOC4adZq0wYLuGFQqQWMrA3tIqkKvhpuNM3zqiVnUqrQCCi1PhguK0IK8dc=s88-c-k-c0x00ffffff-no-rj,False,True,1752734189.146795
Ugxgy-xICjtbk7eEAR14AaABAg,"ya bisa diambil kesimpulan disini saya enggak berpihak A maupun pihak B, ya namanya aja kompetisi ada yang win ada yang lose, dan gimana caranya kita menerima kekalahan udah itu aja balik lagi namanya juga kompetisi kok 😊",1 year ago,@watsongarrymichelle5684,UC0l8IXmQRTG11Q4lbCdUIOQ,0,,https://yt3.ggpht.com/d1zgW84j4PBwRnL1hs73dYw5kFb-dvBS_G5U__n-pDAi5n0y63WcRYtNb6zCnqHvGf3SIht7YA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.366834
UgyKha9qXOVGTQiSZn54AaABAg,"Ini mah bukan oknum suporter tapi semua suporter arema telibat dalam kejadian ini. Jadi fixs ini bukan salah polisi, tapi suporter arema yg memulai kericuhan itu sendiri",1 year ago,@AriSetiawan-h2e,UCx8Kz12jplVNRPNP36yirKQ,4,2,https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.368584
UgwXqRHGOErOzyUz3hZ4AaABAg,pssi harus tindak tegas suporter aremania karna isinya preman preman semua,1 year ago,@kevin01109,UCPi4IaOThX2Lvm9ORfpxsgw,0,,https://yt3.ggpht.com/ytc/AIdro_nFGP-xZLuzb0MPxjrKFgFTM9uafOt7t7bZm7R6Wyi16tE=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.370121
UgwTXBDnV98eFCoIyjR4AaABAg,Al Fatihah buat para korban kanjuran 😢😔🤲🏻🥀,1 year ago (edited),@fauzankakang8093,UCiJ_m08Der3Q7c-JLclXlig,0,,https://yt3.ggpht.com/10O4EfAHAhTBpMm3QzVUNXWQ8i9hik59qgGBddBDDBu1_lnE05rjmUdfBJoOcklM4C7vT7tK=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.371595
Ugz4BzT6nKjq83rvrOh4AaABAg,lapo ga mati kabeh ae bien,1 year ago,@bramestaandra6762,UCZhLkfDwdRTsVLNsimaIfEg,0,,https://yt3.ggpht.com/ytc/AIdro_kBQxmNqCMJbE3CHmhLaOGxgYENUlRLWxmUVrPwtMDJ9ztY=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.373094
UgzoMfharJ2Psfck7nB4AaABAg,SUPPORTER NORAK!,1 year ago,@rafiq_zainuddin,UC9G36Psanrk5wSOxpJxtxtA,0,,https://yt3.ggpht.com/L0cJZGvUHLNBKIwSTzgWb2Kfzf3Fb0uRCpjUbHxkZnF1yVUoD-_uLcKdb6Q2JEXX3pn8SJ-9mY4=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.374654
Ugyl94Z8NMGiT71s_-V4AaABAg,2025 masih nonton,1 year ago,@FadillahMursid,UCXqiDIdehcljPrGCxO-oLCA,1,,https://yt3.ggpht.com/ytc/AIdro_lRTWRoJ5Mm1J6dwSFwLZYO2tYqK3zKpN4VbdDGguTxhPP-sB_V7uVUqTAw-NzD5GCobQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.376441
UgxRkWJerAsLHolI9dp4AaABAg,"2025 nontn lagi. Dan masih gk percaya, perkoro bola iso ngawe wong m4ti,  nrk dadi suporter bola arek ora seneng kalah yo ojo dadi suporter bola. Pemain lawan dan official persibaya datang ya pasti buat menang. Peh jan luar nalar.",1 year ago,@Zhionix93,UCMnYMYfp46beCN2i3sWKLbg,0,,https://yt3.ggpht.com/4RpaAZe6B9N_T48QT-W08yEIDIacoBZYEi9QA39oeQ-DjtUJwPYCzx5HeC-URVEMubBxViVMYD0=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.377991
UgwIpm1mosGQ9SqAISh4AaABAg,Apakah dikejadian ini suppoter arema sadarrr???,1 year ago,@haididamdani7090,UC1MnsNaJkYXOrMiUumq8knA,0,,https://yt3.ggpht.com/ytc/AIdro_mOOgQ2hqo_8db1L3DjyuhCoR3sEsRjEbbW34gOXd4maa9Sgm2SsTXc4jkocSqBJa1XlQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.379474
UgyNrXgsgJaNMhfuNyt4AaABAg,gak malang gak lucu ancenn,1 year ago,@hafiszayn,UC0NAddvSB1wPca-cyWw3HpQ,0,,https://yt3.ggpht.com/ytc/AIdro_n1kfxKeD7KcmqDQXgwGMssTunkRNfjFM0vHJ5-7kBgBYce=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.38113
UgwSCobv9rE41ANxumZ4AaABAg,Tekanan dari tuan rumah pada laga ini tidak pernah akan dilupakan oleh para pemain. Tidak semua pemain di dunia bisa merasakan atmosfer pertandingan setegang ini.,1 year ago,@maztenx,UCn8suR7ZHjZu8M64T-SJklw,1,,https://yt3.ggpht.com/CwoHg11ebCPrRqqI64sOcfEv8Q9jWzmLKjIauTOV52lSH06ShQrsbeRDvn6bmuF0pHLW97E0=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.382662
UgxcdoH4bbX_1S-y6HB4AaABAg,"Pantes di tutup pintu keluar stadion , ternyata di luar chaos , gakebayang kalau semua keluar offic persibaya kaya gmna ,",1 year ago,@bangjhon129,UCcEhbe7sEb87tMYKxLSSulg,2,1,https://yt3.ggpht.com/39Iw9ZpdfN8mtTl2KbV5sy19w3ppb_VfEeB2QlVx3126stIxSTk3R0kkr5giMhYZhCPtjYfbkw=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.384233
UgxUvwNzgI_NQia53Qt4AaABAg,Andai sho yamamoto ga cetak gol😂,1 year ago,@Nbaframeandpicts,UCqmDwvPORGh5Z-tvdVpNlkg,0,,https://yt3.ggpht.com/JXIZGa4AmAJFhlTe8ZECYY_PJq1psvuUcEknTZhLtRgz3kgoWet7ffDXwObKVNI-7LkLeKvh=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.385704
Ugw1syEGEuMPiRvYmE14AaABAg,SUPORTER KAMPUNGAN...! DIA YANG BRUTAL MALAH NYALAHIN APARAT,1 year ago,@adisyahputra9825,UCCNbunKVjbakntIck-5BdAQ,2,,https://yt3.ggpht.com/ytc/AIdro_mWYr5ACRc2UQmKsIH-xTThIcCKjzz4WRuNfbW8Dkx4HXE=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.387177
UgxfbHKKfy8Y6GFM4rZ4AaABAg,Titik terendah dan terhina supporter adalah menyerang pemain dan official dari team rival. 😂😂 Mau kaget tapi ini alema,1 year ago (edited),@ichsanahmad4220,UC7uI-w1cmZUqfoXw4gJkZhQ,3,,https://yt3.ggpht.com/ytc/AIdro_lnJ4DUFSX9ZX_bd7VF6LMrpJasKuilWsBS6pG3w3o=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.388635
UgxjVhayBOXFbHUQujh4AaABAg,Bjirrr ketiban fakta 🥴🥴,1 year ago,@rover9135,UChC0yJqq8Di9G7HdXTHTekw,0,,https://yt3.ggpht.com/AsbrqS9YSynim-ENXLHgwDaDZk-qieFjCAYvLsu1_7LCMSiE1RyhcjkI5omwg1F4SThxJnMusRk=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.390077
Ugys3b_FBMUH3_Zxk_J4AaABAg,"Hadir cak
Wani!",1 year ago,@AFABYT,UC2sVrryURQgkD3nlavXsnqA,0,,https://yt3.ggpht.com/4QaHgs3IGCTylwBh4Arzdf9MLcXaDRJ0idV78_GcQbOeAqa5kMeyX5TB0chcAt-Aqj2M3sDs=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.391645
UgznGRxT9nDNkmcZegh4AaABAg,"2025 hadir 🎉😂


Ngunu kok ra isin bedes kon melek matane",1 year ago,@AgungJegink,UCbb2_gccTU7d-bOqsfY-hsg,0,,https://yt3.ggpht.com/4TMRjvErSeaMg23NgHx_y0BPQj_GhAlB4BuMsWe3sdz2Y0UNZbUQLFFTFE5FsiH2yVl5y4Hn=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.39313
UgwWoFoyP4hPFgXzLNp4AaABAg,Apakah masih menyalahkan polisi setelah anda melihat video ini sampai full?,1 year ago,@ishamferniawan700,UCs3hlqpHqLryh1AMCSufFYA,4,,https://yt3.ggpht.com/m5bmmvW2Pn0hOKJ_vGwsX4JiO7agJMHzVzmhciZOT3_iCotrE2xAELo7E3uOFzjU41u0NX0HgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.3951
Ugx4qzs1hAm_Y5ggln94AaABAg,@NarasiNewsroom,1 year ago,@abdullohhisyam7679,UCbpAmLmaWShwxQd5_0iiIPw,0,,https://yt3.ggpht.com/TL9tpxdldO1xybgNhzalW5_HyUe_dnE4UgZ_b0JHVVkHsQwYdNp0isS6vWDagMPFDdNHXXXP2OE=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.396702
UgyKha9qXOVGTQiSZn54AaABAg.ADZoRjqmimNAEo0uZxoxJD,tapi greget mas liat komen orang awam yang cuma liat dari satu sudut pandang,1 year ago,@Bimasaktiawan-rx5mx,UC2Ohpxe4utPv1qARivOvFpQ,0,,https://yt3.ggpht.com/ytc/AIdro_k78bXqxjvCHrukhuyGTsKlhlaQhxV6ae87tix931MAixZFqdBbIe8JVhOogv1wZNqh6A=s88-c-k-c0x00ffffff-no-rj,False,True,1750142189.549261
UgyKha9qXOVGTQiSZn54AaABAg.ADZoRjqmimNAEo5a4XC-bt, @Bimasaktiawan-rx5mx  dari cuplikan ini kan org2 pada tau siapa sebenarnya yang membuat kericuhan.,1 year ago,@AriSetiawan-h2e,UCx8Kz12jplVNRPNP36yirKQ,0,,https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s88-c-k-c0x00ffffff-no-rj,False,True,1750142189.550981
UgxcdoH4bbX_1S-y6HB4AaABAg.ADG-JmDsKYrADa9z74IfRX,di luar udh kek medan perang,1 year ago,@saya131,UCcpWlTk9ZV-Yhy3C7yoBTeQ,0,,https://yt3.ggpht.com/HdpcU422NCJ35yeq08pmXtEZhFb5MwYNyLP__xWs9UbTJ0OT-15R8sb40lNxOQ7d-xXNu0M9cQ=s88-c-k-c0x00ffffff-no-rj,False,True,1750142189.696099
UgxLTfigbcysnx4JP-B4AaABAg,Pantes pada meninggoy orang suporternya kaya gini😂😂,1 year ago,@ggjhtt1829,UCkJUKktMbOqLrVDg3umz1ZQ,1,,https://yt3.ggpht.com/ytc/AIdro_mRg2zl_zwWMftTu85KJZ7U4zMRfVfx6Rype4BaXnQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.906935
Ugxs-ArtncQyvb06gUF4AaABAg,Iyo mas..tidak semua aremania brutal mas..sepurone yo mas..sing meninggal iku ora melok melok mas ora salah ora melu nyerang aparat..koncoku tomggoku menyelematkan diri...mugo disepuro dosa2ne...mugo2 kabeh sadar mas...iso rukun seduluran yo kabeh aremania bonek..kabeh di awali tensi panas dan tinggi mas...,1 year ago,@oniryusuf274,UC6Bl5io5KK9J2Ozo9mX010w,0,,https://yt3.ggpht.com/ytc/AIdro_nMzR-L5XeZZqfOLZ-JQs0VEXqvGnoFV2d9_EscPeZ8Sf1Y=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.908746
UgyQt_jXD4kjBIt2e9h4AaABAg,Jejak digital yang tak pernah hilang dan tak bisa di hapus,1 year ago,@ekoyanto1425,UCX2ovAI4ZrOYYSICcvQ68tQ,0,,https://yt3.ggpht.com/ytc/AIdro_lzftDd8m5l_evGwpzSZ2ohijsKXH0GgUcfFQfLZ04CYpU=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.910487
Ugx0JfKLM_ipYjwXLgx4AaABAg,Yang nonton ditahun 2025 angkat tangan✋,1 year ago,@candrapanji3779,UCL15GPaKg7btItMG4NgXHLg,51,8,https://yt3.ggpht.com/ytc/AIdro_ntdRfCJHWOefBEevdzu75b89n6Z3XH1U6sOTrR7K_3qg=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.912134
Ugz1M5LmkL_1t42wNuB4AaABAg,Saya nonton video ini bulan Desember 2024,1 year ago,@vancuvenk,UCy4BAIyvp00aMKG2UM2GuQQ,0,,https://yt3.ggpht.com/BGi52XdzDW516X-sdUuIGUXC4W3DG3UmYmqRmojgIDDXI6JmEPp0VPR18XWhPQiEvM-XXgeQvQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.913702
Ugw5kUpGmb7Wx0MkkeJ4AaABAg,"Jos Muhammad Hidayat 😂
Pas menit 43.00 gambar SINGO.E di idoni (di LUDAH.I ) 😂😂


Salam teko PASURUAN (SAKERA MANIA )",1 year ago,@FitriHandayani-or9oz,UCoVoHhYthert2ZX5ThNDJwg,4,2,https://yt3.ggpht.com/E9QDfg_wOTWibbP2UIcw4-pf_TNzg0CVl5-5FnzotFawTVBYgtG8yNSEs25QHdKWnbFmVJHr=s88-c-k-c0x00ffffff-no-rj,False,False,1750142189.91522
