cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugx894r7rw6Pr5QjFSp4AaABAg,Bu irma apa pernah anda kritisi 1  orang bisa punya 20 sppg bahkan lebih,3 days ago,@NicoTung,UCC2xXK4yE6wrMq54xtxEn5w,0,,https://yt3.ggpht.com/ytc/AIdro_nqG5kNb9WDoM5cFrNSQr9fzliieK8lWbCqB52t7OKShdvcGjZ-DNkPlowQu3IE1MHYgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.655267
Ugy8fdIlgBxdltnjSEF4AaABAg,Hentikan MBG  segera sblm hancur negri inih,3 days ago,@jejenaibet2260,UCSjsgsjEd2_kVHv5VTcBs1w,0,,https://yt3.ggpht.com/ytc/AIdro_khSbcYOk-ZJpJdnM0KT63okOiFU3WwtWMvAi-S5gxJah9fOAID9GlTIjWJnSHyDKWk4A=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.656968
UgyaIy0__DwWU3ysP954AaABAg,85% rakyat tidak setuju ada nya MBG dan koperasi merah putih,3 days ago,@ediazka853,UCk4KVQHe0nty4DNTfccl0Mg,0,,https://yt3.ggpht.com/ytc/AIdro_mzg0qII96YzNKy8vRQfGNoUM0RsuZQubEY5kVuRRE=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.658482
UgwWgF596X6LaM6YsPR4AaABAg,SAYA HERAN DGAN NEGARA KITA SUDAHJELAS KLO KORUPSI ITU KEJAHATAN KEMANUSIAANLUAR BIASA.DR KEJAHATAN YG LAIN KENAPA SIH KOK TTP SJ GK DI TERBITKN  UU.HUKUMAN MATI. SY SANGAT SEDIH,3 days ago,@Bambang-nf3zn,UCOqwt2-0n54uF-gpxxGWGKg,0,,https://yt3.ggpht.com/ytc/AIdro_lrHWTbFqZoDU9M3ff8W1iLLWIXHPXeSom1GjKU4xvUrnPxLAvT-ZnE0hGd6wW5uxS3EA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.659918
UgxNMii9pG5VuQQmUkt4AaABAg,Kalau maling tu pak gak usah pakai mau di hormati lah.,3 days ago,@yadinarianto7564,UCtzJvnPVQ7eSSTGaj-4EkHw,0,,https://yt3.ggpht.com/ytc/AIdro_nGcme0aUep4oXTMEZ96rOe2QLR4MfLi_qc3FWKofrzZxyQTLkT6aO53ObuurhWH70Sgg=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.661395
Ugx5gmFsg5ufATOFHbt4AaABAg,"MANUSIA YANG PALING MENJIJIKAN ADALAH SUDAH KETAUAN BANYAK SALAHNYA MASIH AJA BERKELIT DAN MERASA BIJAKSANA BUKAN MERASA MALU, PENJILAT EMANG MUKA TEMBOK",3 days ago,@sukasabi3143,UCGoltR_uff-Gee81ETWNJDg,0,,https://yt3.ggpht.com/uc-DX-q99Qay3TAR6yzN1oFw3NqFqcMC8YPhM6YA3dywD1qf_8x64kMci6J9iEyJKbIxgTpakA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410684.662803
UgwaGqQyKHIqqkksh6N4AaABAg.AXzUYBQixxkAY0vA-Eh5TN,Ibu itu jago ngomong biasanya😂,2 days ago,@ruangmuslim567,UCtOSaxoWuFkNWvCntaMBouA,0,,https://yt3.ggpht.com/5H-WLX-nvF0zhhjZWSIxPooS24_MBNWr2AQSNBWNIoPvLLsODrN_Z93oBfpvtMGErMoJyZ7Bog=s88-c-k-c0x00ffffff-no-rj,False,True,1781497084.811424
UgxkoQLawkFKzW5X6WR4AaABAg,MBG di evaluasi tapi Koprasi merah putih rakyat dukung asal benar dan tidak ada korupsi.,3 days ago,@antasena4251,UCLQp4ihoRiaEdcZlLK8pf9A,0,,https://yt3.ggpht.com/XsY-xJkvKFtuxT_5FeFnn7s22KvKdy-nP3IZgSfMaY2ZJwJoJMbjODh_ooinB2EYQ898gG5p9Q=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.038866
UgwirI7qLqHfTjfNj7d4AaABAg,Kesimpulannya maling semua😂😂😂,3 days ago,@kusnandadadang3031,UCseVLg5oSmwIgLsUGuge2Fw,0,,https://yt3.ggpht.com/ytc/AIdro_kgo5-MnM8oZR7nY16V-tDL5_A6dKIJoQqTwiqSgTbZYwwthXx2pd4s6k-o2cXayo3jJA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.040526
Ugzc8wsSyw1L93qpu3x4AaABAg,"Acara spt ini hx membangongkan,,,",3 days ago,@andariasbutu2813,UCkZzSpDS3EkZ7KUkZgVJx6g,0,,https://yt3.ggpht.com/ytc/AIdro_mNVR4Jkv4_q2v4vZ4o8tyusVVnLF3h-ax_rgSsqA=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.042048
Ugw_IWxYhipjnzSyLkZ4AaABAg,Stop saja MBG,3 days ago,@GaflomiAle,UClGIcfx09_j-kKSAIA4XMCg,0,,https://yt3.ggpht.com/ytc/AIdro_meqQRL0zCllAnC_OULHvyioHnxQgDv5V6pOJ1FBeFlkNyG-K1JF6XOiPI9PZt3p3irAw=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.043513
Ugwp1wFCuxvpLDSVbHJ4AaABAg,Ide positif,3 days ago,@RizalOzan-z1e7t,UCc9OEh_5dM96kr8_9FdP9YA,0,,https://yt3.ggpht.com/ytc/AIdro_nG4SbiRinF1vfW-o9Rnw5llJVk7TkcI6fsy_QOXjoibee1KSsh76gul9To0U7W2NWuBQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.044931
Ugy15DKcoOcLqez1ta14AaABAg,"11:55 jangan digiring buk, biarin saja bergulir dan dibongkar semuanya, terutama 20an nama yg disebut juga dipanggil !!!",3 days ago,@marcoandersoon6555,UC5wAeDrSpn0gp-K5zAhu9Ow,0,,https://yt3.ggpht.com/ytc/AIdro_mCYT28h9WvXqO21vAsePevNqwwfJSdnuq2V04oW6nCLvE=s88-c-k-c0x00ffffff-no-rj,False,False,1781410685.046416
